Time,T_ref_C,T_meas_C,PWM_percent,error_C
15.5 sec,35,30.0871063983046,54.6493756254149,4.92374709156265
15.6 sec,35,30.0978849513766,54.6362411105023,4.91289360169541
15.7 sec,35,30.108589918159,54.6235444116558,4.90211504862342
15.8 sec,35,30.1192226204751,54.6112758286237,4.89141008184095
15.9 sec,35,30.1297843520831,54.5994258707881,4.88077737952489
16 sec,35,30.1402763792811,54.5879852526429,4.8702156479169
16.1 sec,35,30.1506999414985,54.5769448893696,4.85972362071889
16.2 sec,35,30.1610562518745,54.5662958925082,4.84930005850153
16.3 sec,35,30.1713464978247,54.5560295657219,4.8389437481255
16.4 sec,35,30.181571841595,54.5461374006527,4.82865350217527
16.5 sec,35,30.1917334208035,54.5366110728666,4.818428158405
16.6 sec,35,30.2018323489712,54.5274424378865,4.8082665791965
16.7 sec,35,30.2118697160409,54.5186235273103,4.79816765102879
16.8 sec,35,30.2218465888847,54.5101465450124,4.78813028395913
16.9 sec,35,30.2317640118014,54.5020038634282,4.77815341111526
17 sec,35,30.241623007002,54.4941880199176,4.76823598819857
17.1 sec,35,30.2514245750857,54.4866917132078,4.75837699299798
17.2 sec,35,30.2611696955052,54.479507799912,4.74857542491429
17.3 sec,35,30.2708593270218,54.4726292911239,4.73883030449484
17.4 sec,35,30.2804944081516,54.4660493490852,4.72914067297816
17.5 sec,35,30.2900758576004,54.4597612839252,4.71950559184845
17.6 sec,35,30.2996045746911,54.4537585504706,4.70992414239964
17.7 sec,35,30.3090814397806,54.4480347451245,4.70039542530891
17.8 sec,35,30.3185073146683,54.4425836028115,4.69091856021937
17.9 sec,35,30.3278830429952,54.4373989939904,4.68149268533175
18 sec,35,30.3372094506353,54.4324749217303,4.67211695700484
18.1 sec,35,30.346487346078,54.4278055188494,4.66279054936467
18.2 sec,35,30.355717520802,54.4233850451166,4.65351265392198
18.3 sec,35,30.3649007496416,54.4192078845129,4.64428247919801
18.4 sec,35,30.3740377911452,54.4152685425513,4.63509925035839
18.5 sec,35,30.3831293879254,54.4115616436556,4.62596220885483
18.6 sec,35,30.3921762670023,54.4080819285952,4.61687061207464
18.7 sec,35,30.401179140139,54.4048242519748,4.60782373299771
18.8 sec,35,30.4101387041699,54.4017835797789,4.59882085986098
18.9 sec,35,30.419055641322,54.398954986969,4.58986129583007
19 sec,35,30.427930619529,54.3963336551328,4.58094435867802
19.1 sec,35,30.4367642927393,54.3939148701836,4.57206938047099
19.2 sec,35,30.4455573012166,54.3916940201099,4.56323570726067
19.3 sec,35,30.4543102718344,54.3896665927732,4.55444269878336
19.4 sec,35,30.4630238183641,54.3878281737534,4.54568972816557
19.5 sec,35,30.4716985417568,54.3861744442406,4.5369761816359
19.6 sec,35,30.4803350304193,54.3847011789725,4.52830145824318
19.7 sec,35,30.4889338604838,54.3834042442161,4.51966496958067
19.8 sec,35,30.4974955960717,54.3822795957933,4.51106613951623
19.9 sec,35,30.5060207895526,54.3813232771485,4.50250440392826
20 sec,50,30.6239967063944,100,19.4939792104474
20.1 sec,50,30.7415007195688,100,19.3760032936056
20.2 sec,50,30.8585347166905,100,19.2584992804312
20.3 sec,50,30.9751005778238,100,19.1414652833095
20.4 sec,50,31.0912001755125,100,19.0248994221762
20.5 sec,50,31.2068353748104,100,18.9087998244875
20.6 sec,50,31.3220080333112,100,18.7931646251896
20.7 sec,50,31.4367200011779,100,18.6779919666888
20.8 sec,50,31.5509731211732,100,18.5632799988221
